RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
115,Benin,4623,"4,754","4,492","2,458",932,64,335,479,127,230
116,Comoros,4609,"4,849","4,368","2,304",899,476,424,185,195,125
117,Uganda,4603,"4,747","4,459","1,842",777,875,418,402,222,66
118,Nigeria,4552,"4,651","4,453","1,784","1,079",732,300,444,175,38
119,Kenya,4543,"4,683","4,403","1,661","1,032",605,401,440,322,82
120,Tunisia,4516,"4,629","4,403","1,540","1,350",596,656,316,29,29
121,Pakistan,4516,"4,634","4,397","1,940","1,049",413,374,448,181,112
122,Palestinian Territories,4483,"4,665","4,300","1,368","1,148",957,521,336,73,79
123,Mali,4479,"4,611","4,347","2,373",792,483,311,350,128,42
124,Namibia,4459,"4,593","4,326","1,414","1,292",877,354,384,67,71
125,"Eswatini, Kingdom of",4396,"4,607","4,185","1,688","1,274",786,197,259,38,154
126,Myanmar,4394,"4,511","4,277",877,"1,038",829,491,513,452,194
127,Sri Lanka,4362,"4,487","4,237",595,"1,415",934,660,529,150,79
128,Madagascar,4339,"4,530","4,148","2,148",670,645,378,202,143,154
129,Egypt,4288,"4,377","4,198",856,"1,388",732,548,469,41,254
130,Chad,4251,"4,503","3,999","2,419",662,506,225,180,182,77
131,Ethiopia,4241,"4,365","4,118","1,375",788,809,457,472,205,136
132,Yemen,4197,"4,384","4,010","1,561",691,"1,043",384,330,90,98
133,Mauritania,4153,"4,356","3,950","1,207","1,100",865,450,304,88,138
134,Jordan,4152,"4,276","4,029",695,"1,324",724,675,476,58,200
135,Togo,4112,"4,272","3,953","2,061",771,322,360,292,174,132
136,India,3777,"3,828","3,726",795,"1,167",376,471,647,198,123
137,Zambia,3760,"3,902","3,618","1,135",930,577,306,525,203,83
138,Malawi,3750,"3,941","3,560","1,661",648,279,388,477,140,157
139,Tanzania,3702,"3,847","3,558",735,848,597,425,578,248,270
140,Sierra Leone,3574,"3,732","3,416","1,556",686,416,273,387,202,55
141,Lesotho,3512,"3,748","3,276","1,312",839,848,0,419,76,18
142,Botswana,3471,"3,667","3,275",187,"1,503",815,280,571,12,102
143,Rwanda,3268,"3,462","3,074",536,785,133,462,621,187,544
144,Zimbabwe,2995,"3,110","2,880",548,947,690,270,329,106,105
145,Lebanon,2955,"3,049","2,862",216,"1,392",498,631,103,82,34
146,Afghanistan,2404,"2,469","2,339","1,263",758,0,289,0,89,5
